崟	嶔
崠	岽
嵆	嵇
嵐	嵐
嵜	崎
嵯	嵳
嵳	嵯
嶋	島
嶌	島
嶔	崟
嶺	嶺
嶽	岳
巌	巖
巔	巓
巖	巌
巡	廵
巢	巣
巣	巢
巨	鉅
巴	笆
巵	卮
巺	巽
巻	捲
巽	巺
布	佈
帋	紙
希	稀
帚	菷
帡	帲
帬	裙
席	蓆
帯	帶
帰	歸
帲	帡
帳	賬
帶	帯
幇	幫
幚	幫
幢	橦
幤	幣
幱	襴
干	乾
年	秊
并	並
幷	並
幸	倖
幽	凼
庁	廳
広	廣
庅	麼
床	牀
店	坫
度	廓
座	坐
庵	菴
庶	庻
庻	庶
庼	廎
庽	寓
庿	廟
廃	廢
廄	廐
廉	廉
廊	廊
廏	廄
廐	廄
廓	廓
廠	厰
廢	廃
廩	稟
廪	稟
廬	廬
廰	廳
廳	廰
廵	巡
廸	迪
廻	回
廼	乃
廽	回
廾	廿
廿	廾
弁	辨
弄	弄
弉	奘
弌	搋
弍	二
弦	絃
弾	彈
彂	發
彊	强
彐	彑
彑	彐
当	當
录	錄
彗	篲
彙	彚
彚	彙
彛	彝
彜	彝
彝	彛
彨	彲
彬	份
彲	彨
彷	仿
彿	髴
往	徃
徃	往
律	律
従	從
從	従
徠	來
徧	遍
徨	遑
復	覆
徳	德
徴	徵
德	惪
徺	僥
忈	仁
志	誌
応	應
忞	暋
忰	悴
念	念
忻	欣
怒	怒
恂	悛
恊	協
恤	賉
恵	惠
恿	慂
悋	吝
悛	恂
悤	匆
悪	惡
悫	慤
悳	德
悴	忰
悽	淒
惠	恵
惡	惡
惪	德
惷	蠢
愈	癒
愧	媿
愨	慤
愬	訴
愼	眘
愽	博
慂	恿
慄	慄
慎	愼
慙	慚
慤	愨
慭	憖
慽	慼
慾	欲
憅	慟
憇	憩
憐	憐
憑	凴
憖	慭
憩	憇
懃	勤
應	応
懐	懷
懞	蒙
懴	懺
懺	懴
懽	歡
戀	戀
戛	戞
戝	賊
戞	戛
戦	戰
戮	戮
戯	戲
戰	戦
戱	戲
戶	戸
戸	戶
戻	戾
戼	卯
戾	戻
扁	碥
扇	煽
扐	朸
払	拂
扛	摃
扞	擀
扠	搋
扯	撦
扱	插
扵	于
扺	抵
抃	拚
抉	刔
抜	拔
択	擇
抱	抔
抵	扺
抻	伸
拂	払
拉	拉
拊	撫
拏	拏
拓	拓
拔	抜
拕	拖
拖	拕
拚	抃
拜	拝
拝	拜
拡	擴
拴	揎
拿	拏
挅	挆
挆	挅
挙	舉
捆	綑
捍	扞
捜	搜
捲	卷
捴	總
捶	搥
捻	捻
掏	搯
掘	撅
掠	掠
掲	揭
掻	搔
揎	拴
插	扱
揭	掲
揯	搄
揷	插
揺	搖
搃	總
搆	構
搔	掻
搖	揺
搗	擣
搜	捜
搥	捶
搧	煽
搨	搭
搭	搨
搯	掏
摂	攝
摃	扛
摒	屏
摭	拓
撃	擊
撅	掘
撚	撚
撦	扯
撫	拊
撲	攴
撹	攪
擀	扞
擄	擄
擇	択
擊	撃
據	拠
擣	搗
擧	舉
擬	儗
攅	攢
攝	摂
攢	攅
攴	撲
攵	夊
收	収
攷	考
效	効
敍	叙
敎	教
敓	敚
敘	敍
教	敎
敚	敓
敠	敪
敩	斅
敻	夐
敽	敿
敿	敽
斅	斆
斆	斅
斈	學
斉	齊
斍	覺
斎	齋
斤	觔
旅	旅
既	旣
旣	既
旦	蛋
旭	旯
旮	旭
旯	旭
昇	升
易	易
昚	愼
昜	陽
映	暎
春	萅
是	昰
昰	是
昶	暢
昿	曠
晃	晄
晄	晃
晚	晩
晢	晰
晩	晚
晰	晢
晴	晴
暁	曉
暋	忞
暎	映
暖	煖
暗	晻
暦	曆
暨	曁
暴	暴
暸	瞭
曄	曅
曅	曄
曉	暁
曠	昿
曡	疉
曳	曵
更	更
曵	曳
曶	㫚
曹	曺
曽	曾
曾	曽
朂	勗
朌	頒
朐	胊
朖	朗
朗	朗
望	朢
朞	期
期	朞
朢	望
朦	蒙
朩	等
本	夲
札	箚
朵	朶
朶	朵
朸	扐
李	李
杠	槓
杯	盃
松	枩
枀	松
极	極
枏	楠
林	林
枩	松
枴	拐
枾	柿
柆	拉
柏	栢
柒	漆
查	査
柩	柾
柰	奈
柴	茈
査	查
柾	柩
柿	枾
栄	榮
栗	慄
栝	檜
核	覈
桁	航
桌	棹
桑	桒
桒	桑
桜	櫻
桟	棧
桮	杯
梁	梁
梅	楳
梨	梨
梹	檳
棊	棋
棧	桟
棹	桌
椒	茭
椘	楚
検	檢
椫	樿
椶	棕
楂	查
楕	橢
