唫	吟
唬	諕
唾	涶
啃	齦
啍	吨
啎	忤
啓	啟
啕	咷
啖	㗖
啗	㗖
啜	欼
啞	瘂
啟	啓
啣	㘅
啼	嗁
喂	餧
喃	諵
喆	哲
喐	郁
喒	昝
喜	憙
喧	諠
喨	哴
喫	吃
喬	乔
喭	唁
單	单
喿	噪
嗁	啼
嗅	齅
嗉	膆
嗒	㗳
嗞	咨
嗥	嚎
嗽	瘶
嘆	歎
嘈	䜊
嘍	謱
嘗	甞
嘩	譁
嘯	歗
嘱	囑
嘴	咀
嘷	嗥
嘿	默
噂	譐
噉	㗖
噏	吸
噐	器
噑	嚎
噦	𧬨
器	噐
噪	喿
噴	呠
嚎	嗥
嚥	咽
嚬	顰
嚳	俈
嚵	饞
嚹	𡅈
囁	讘
囑	嘱
囓	齧
囘	囬
四	肆
回	囘
囟	䪿
囤	𥫱
囪	囱
囬	囘
园	刓
囮	𡈙
囯	國
困	睏
囱	囪
圅	函
國	囯
圕	圖
圖	圕
圝	圞
圞	圝
圢	町
圣	聖
圬	杇
圭	珪
坆	墳
坋	坌
坌	坋
坎	埳
坏	坯
坑	阬
坛	壇
坟	墳
坤	堃
坭	泥
坯	坏
坰	冂
坵	丘
垔	陻
垛	垜
垜	垛
垻	壩
埇	甬
埜	野
域	㽣
埳	坎
埶	蓺
執	执
埽	掃
堃	坤
堇	菫
堈	缸
堘	塍
堙	垔
堤	隄
堦	階
堭	隍
報	报
場	塲
堿	鹼
塍	堘
塐	塑
塑	塐
塔	㙮
塟	葬
塡	窴
塢	隝
塤	壎
塩	鹽
塲	場
塹	壍
墈	磡
墖	塔
墝	磽
墤	隤
墫	樽
墰	罈
墳	坆
墻	廧
壇	坛
壍	塹
壎	塤
壐	璽
壜	墰
壩	垻
声	聲
壳	㱿
壹	一
壻	婿
壽	寿
夀	壽
夅	降
変	變
够	彀
夠	够
夢	梦
夣	夢
天	靝
夯	䂫
夸	誇
奇	竒
奈	柰
奎	㚝
奔	犇
奕	弈
奞	㚝
奩	匳
奶	妳
她	他
妊	姙
妒	妬
妙	玅
妝	粧
妤	伃
妬	妒
妳	奶
姆	姥
姉	姊
姊	姉
姍	姗
姗	姍
姙	妊
姣	㚣
姥	姆
姻	婣
娘	孃
娠	㛛
娩	㝃
娬	嫵
婣	姻
婦	媍
婬	淫
婿	壻
媆	嫩
媍	婦
媿	愧
嫉	𡜱
嫕	嫛
嫛	嫕
嫩	媆
嫫	嬷
嫵	娬
嫺	嫻
嫻	嫺
嬌	撟
嬭	奶
嬰	孾
嬷	嫫
孀	霜
孃	娘
子	只
孭	𧴯
學	斈
孼	孽
孽	孼
孾	嬰
宂	冗
它	佗
完	烟
宐	宜
宜	宐
宝	寳
宴	讌
宻	密
宼	寇
宿	㝛
寃	冤
密	宻
寇	宼
寍	寧
寔	實
寕	寜
寗	甯
寘	置
寚	宝
寜	寕
察	詧
寠	窶
寡	關
實	寔
寧	寍
寨	砦
寫	冩
寳	宝
寵	𠖥
寶	宝
对	對
寿	壽
尀	叵
尃	旉
尅	剋
将	𤕭
將	𤕭
專	耑
對	对
尒	尔
尔	尒
尗	叔
尢	尣
尣	尢
尨	狵
尩	㑌
尰	腫
尲	尷
尷	尲
尸	屍
尻	䯌
尽	盡
居	㞐
屆	届
屉	屜
届	屆
屍	尸
屜	𡲕
属	𡱆
屣	蹝
屬	属
岁	亗
岡	崗
岨	砠
岩	巖
峒	洞
峨	峩
峩	峨
峭	陗
峯	峰
峰	峯
崒	崪
崔	磪
崖	厓
崗	岡
崘	崙
崙	侖
崧	嵩
崪	崒
嵗	歲
嵠	谿
嵩	崧
嶃	磛
嶄	巉
嶇	㠊
嶎	蔚
嶝	磴
巉	嶄
巍	魏
巖	岩
巛	川
川	巛
巡	廵
巤	鬣
帀	匝
帆	㠶
帋	紙
帒	袋
帙	袠
帚	箒
帬	裙
帮	幫
帳	賬
幂	鼏
幇	帮
幕	幙
幙	幕
幞	襮
幟	旘
幡	旛
幫	帮
幵	开
并	並
幷	並
幸	倖
幺	么
庄	莊
庅	麽
床	牀
庙	廟
庬	厖
庵	菴
庸	㐯
庾	斞
廀	廋
廁	厠
廈	厦
廋	廀
廌	豸
廐	厩
廑	厪
廕	蔭
廚	厨
廝	㒋
廟	庙
廠	厰
廧	墻
廱	雝
廵	巡
廸	迪
廹	迫
廻	回
廼	乃
廿	卄
开	幵
弈	奕
弊	𡚁
弋	𢍺
弌	一
弍	二
弔	吊
弢	韜
弦	絃
強	强
强	強
彀	够
彊	強
彐	彑
彑	彐
归	歸
彫	㓮
彬	斌
彷	髣
彸	伀
往	徃
徃	往
徑	俓
徒	𨑒
從	从
徠	倈
御	馭
徤	健
徧	遍
徬	彷
徭	傜
德	悳
徹	澈
心	㣺
忄	心
忍	㣼
忤	啎
忭	昪
忻	欣
忼	慷
怀	懷
怌	懷
怪	恠
怱	匆
怳	恍
恆	恒
恊	勰
恋	戀
恍	怳
恐	𢙢
恒	恆
恠	怪
恡	吝
恤	卹
恥	耻
恩	摁
恿	慂
悁	懁
悅	悦
悊	哲
悋	吝
悐	惕
悚	𢥠
悞	誤
悠	滺
悤	匆
